heading,count
Crest Data and Dynatrace have partnered to offer a service that simplifies and accelerates migration from Splunk to Dynatrace,1
Accelerated migration,1
Expert-level resources,1
Future-Proof Flexibility,1
System Monitoring,1
[ Industry-Leading Expertise ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2191),1
[ Implementation Excellence ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2192),1
[ Built for What’s Next ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2193),1
[ What is Dynatrace? ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2091),1
[ What does Dynatrace do? ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2092),1
[ Does Dynatrace support OpenTelemetry? ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2093),1
[ How does Dynatrace OneAgent work? ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2094),1
[ How long does a Splunk to Dynatrace migration take? ](https://www.crestdata.ai/splunk-to-dynatrace-migrations/#collapse-2095),1
Trusted by Global Technology Leaders,1
View mutual connections with Jay,1
727 followers,1
Pravesh Bajpai,1
"[Senior DevOps Engineer Crest Data, Ahmedabad, Gujarat, India  ](https://in.linkedin.com/jobs/view/senior-devops-engineer-at-crest-data-4333894374?trk=public_profile__posts_feed-job-posting-content)",1
Patti J.,1
Bhavesh Chauhan,1
Being Networks,1
Sonatype,1
"See their title, tenure and more.",1
View Jay’s full profile,1
Jay can help you find your next opportunity,1
View mutual connections with Ronak,1
848 followers,1
"[Talent Acquisition - Executive/Sr. Executive/Manager Crest Data, Ahmedabad, Gujarat, India  ](https://in.linkedin.com/jobs/view/talent-acquisition-executive-sr-executive-manager-at-crest-data-4233336651?trk=public_profile__posts_feed-job-posting-content)",1
Monish Shah,1
Hardik dwivedi,1
Devanshi Shah,1
Riddhi Kansara,1
"[Senior Software Engineer / Technical Lead -(Java with React.js) Crest Data, Ahmedabad, Gujarat, India  ](https://in.linkedin.com/jobs/view/senior-software-engineer-technical-lead-java-with-react-js-at-crest-data-2759330179?trk=public_profile__reactions_feed-job-posting-content)",1
View Ronak’s full experience,1
Licenses & Certifications,1
[ DataCamp ](https://www.linkedin.com/school/datacampinc/?trk=public_profile_profile-section-card_subtitle-click),1
Big Data University,1
[ IBM ](https://www.linkedin.com/company/ibm?trk=public_profile_profile-section-card_subtitle-click),1
Other similar profiles,1
Vivek Patel,1
Vipul Jain,1
Anurag Tiwari,1
Harshita Bajpai,1
Pragnya Priyadarsani,1
Shubham Jain,1
Vivek Gautam,1
Sudipta Das,1
Muhammad Azhar Shaikh,1
Jatin Kothari,1
Sonam Prabha. PMP®,1
Jitendra Kumar,1
Arti Kumari,1
Sunil Kumar Kakarla,1
"Satyendra Gupta, SPS®, PSPO®, PSM®",1
Shivam K.,1
Ajay Jamwal,1
MANOJ KUMAR MOHAPATRA,1
Anshul Gupta,1
Others named **Ronak Shah** in **India**,1
AI Product Engineer,1
Sign in to set job alerts for “Product Engineer” roles.,1
[ Improzo ](https://www.linkedin.com/company/improzo?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Pattern ](https://www.linkedin.com/company/pattern-hq?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Onit India ](https://in.linkedin.com/company/onit-india?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Bajaj Finserv ](https://in.linkedin.com/company/bajaj-finserv-lending?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Medline ](https://www.linkedin.com/company/medlineinc?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
"[ Leapfrog Technology, Inc. ](https://www.linkedin.com/company/lftechnology?trk=public_jobs_similar-jobs_main-jobs-card-subtitle)",1
[ Deloitte ](https://www.linkedin.com/company/deloitte?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Medline India ](https://in.linkedin.com/company/medline-india?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Dar ](https://lb.linkedin.com/company/dar-al-handasah?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ HARMAN India ](https://in.linkedin.com/company/harmanindia?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Codvo.ai ](https://www.linkedin.com/company/codvo?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Quest Global ](https://sg.linkedin.com/company/quest-global?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Advanced Energy ](https://www.linkedin.com/company/advancedenergy?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Rearc ](https://www.linkedin.com/company/rearc-llc?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Setoo ](https://in.linkedin.com/company/setoos?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Crisil ](https://in.linkedin.com/company/crisil?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Siemens Digital Industries Software ](https://www.linkedin.com/company/siemenssoftware?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
AiML Ops,1
Artificial Intelligence Engineer,1
AI Developer II,1
Gen AI Expert,1
AI Engineer - Remote,1
Senior SOC Analyst,1
[ Cyware ](https://www.linkedin.com/company/cyware?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Adani Group ](https://in.linkedin.com/company/adani-group?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Atech Cloud - India ](https://in.linkedin.com/company/atechcloud-india?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ S&P Global ](https://www.linkedin.com/company/spglobal?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Dishman Carbogen Amcis Ltd ](https://in.linkedin.com/company/imdcal?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ DRC Systems ](https://in.linkedin.com/company/drc-systems?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Aeromesh Systems ](https://in.linkedin.com/company/aeromesh-systems?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Deutsche Bahn ](https://de.linkedin.com/company/deutschebahn?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Arrow Components ](https://www.linkedin.com/company/arrow-components?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Cisco ](https://www.linkedin.com/company/cisco?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Black Box ](https://www.linkedin.com/company/black-box?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Infocusp Innovations ](https://in.linkedin.com/company/infocusp?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
[ Nextgen Clearing Ltd ](https://uk.linkedin.com/company/nextgen-clearing?trk=public_jobs_similar-jobs_main-jobs-card-subtitle),1
Application Security Engineer (Senior) ID71667,1
System Analyst,1
Senior Information Technology Support Engineer,1
Application Security Engineer (Tech Lead) ID71665,1
IT Compliance Analyst,1
Information Technology Analyst,1
Senior IT Support Engineer,1
Senior IT Advisor,1
IT Service Analyst II - Internal IT Support - Admin,1
Senior Risk Analyst,1
Devanshi Raichura’s Post,1
Jignesh Patel’s Post,1
More from this author,1
Rohit Jaraut’s Post,1
Shweta Parikh’s Post,1
Smit Belani’s Post,1
Yash Somani’s Post,1
